product_sk,source_product_id,product_name,category,sub_category,price,cost_price,supplier_id,warehouse_location,is_active,launch_date
94,20093,Intuitive hybrid array,Home,Mobile,63.12,159.99,11,WH-C-45,1,2025-03-08
95,20094,Enterprise-wide zero-defect Graphical User Interface,Clothing,Kitchen,68.02,42.28,25,WH-B-55,1,2016-05-18
96,20095,Face-to-face content-based leverage,Home,Educational,75.82,82.42,36,WH-B-4,0,2016-10-24
97,20096,Public-key 5thgeneration model,Electronics,Apparel,456.25,213.69,41,WH-B-69,0,2019-12-15
98,20097,Multi-channeled modular artificial intelligence,Books,Mobile,63.09,149.26,20,WH-B-92,0,2016-09-15
99,20098,Upgradable clear-thinking utilization,Clothing,Fiction,301.81,235.73,1,WH-A-35,0,2023-07-09
100,20099,Compatible non-volatile structure,Toys,Mobile,82.16,32.17,46,WH-A-27,0,2019-10-30
101,20100,Object-based maximized Graphical User Interface,Toys,Apparel,351.25,183.73,35,WH-C-7,1,2018-06-07
102,20101,Synergized attitude-oriented customer loyalty,Home,Fiction,95.67,36.34,48,WH-C-89,1,2018-11-22
103,20102,Progressive non-volatile artificial intelligence,Home,Mobile,25.4,236.42,29,WH-B-84,0,2021-01-08
104,20103,Extended 3rdgeneration matrices,Clothing,Mobile,64.59,236.39,13,WH-C-58,0,2021-09-04
105,20104,Ameliorated upward-trending hardware,Toys,Educational,451.57,102.55,28,WH-A-86,1,2017-04-04
106,20105,Down-sized dedicated challenge,Clothing,Mobile,103.9,208.99,44,WH-B-88,0,2017-09-22
107,20106,Grass-roots exuding challenge,Books,Mobile,402.59,21.48,38,WH-B-32,0,2023-07-30
108,20107,Right-sized actuating approach,Electronics,Educational,308.35,199.24,20,WH-B-93,0,2025-03-05
109,20108,Programmable client-driven synergy,Home,Kitchen,441.74,7.89,32,WH-C-82,1,2022-06-28
110,20109,Multi-tiered tangible process improvement,Toys,Educational,257.53,130.98,44,WH-B-45,1,2020-10-25
111,20110,Centralized bottom-line middleware,Home,Apparel,219.47,207.33,4,WH-C-47,0,2024-05-08
112,20111,Synchronized multi-tasking Local Area Network,Toys,Fiction,62.51,162.24,20,WH-C-86,0,2022-11-18
113,20112,Visionary reciprocal throughput,Books,Educational,480.57,130.56,19,WH-C-95,1,2025-01-24
114,20113,Managed eco-centric service-desk,Books,Fiction,262.1,42.98,36,WH-C-77,0,2017-07-25
115,20114,Integrated intangible success,Toys,Mobile,144.38,115.11,7,WH-B-49,1,2017-05-04
116,20115,Quality-focused transitional algorithm,Home,Kitchen,141.22,226.62,13,WH-C-84,0,2019-03-13
117,20116,Advanced static firmware,Clothing,Fiction,398.25,41.98,33,WH-C-85,0,2022-04-27
118,20117,User-centric 5thgeneration interface,Clothing,Fiction,434.8,231.42,39,WH-C-72,0,2016-07-20
119,20118,Face-to-face bandwidth-monitored Local Area Network,Electronics,Mobile,100.71,48.05,7,WH-A-9,1,2024-02-03
120,20119,Switchable regional circuit,Electronics,Mobile,455.92,129.44,20,WH-C-86,1,2023-03-12
121,20120,Virtual bottom-line Local Area Network,Electronics,Mobile,278.39,205.37,34,WH-B-50,1,2023-07-14
122,20121,Multi-lateral eco-centric knowledge user,Home,Kitchen,324.17,25.84,28,WH-A-62,0,2021-10-14
123,20122,Enhanced client-driven flexibility,Home,Apparel,210.25,245.7,46,WH-C-13,1,2023-08-07
124,20123,Monitored stable instruction set,Clothing,Mobile,191.33,204.82,35,WH-B-96,0,2023-05-02
125,20124,Business-focused real-time data-warehouse,Electronics,Educational,222.1,224.74,16,WH-B-35,1,2023-01-13
126,20125,Ergonomic bifurcated contingency,Home,Mobile,357.39,177.5,26,WH-A-37,0,2017-02-14
127,20126,Down-sized neutral migration,Toys,Fiction,410.79,229.5,33,WH-C-61,0,2021-12-30
128,20127,Multi-lateral tertiary instruction set,Toys,Educational,278.64,77.08,50,WH-B-69,0,2017-08-02
129,20128,Profound upward-trending encoding,Toys,Fiction,234.97,8.78,23,WH-C-56,0,2023-12-05
130,20129,Public-key dedicated migration,Toys,Fiction,497.55,166.8,42,WH-C-10,0,2022-10-03
131,20130,Fully-configurable radical ability,Home,Educational,423.51,144.49,36,WH-B-3,0,2025-03-04
132,20131,Secured well-modulated projection,Clothing,Educational,441.78,192.18,47,WH-B-81,0,2024-12-22
133,20132,Business-focused solution-oriented methodology,Home,Mobile,281.12,6.43,25,WH-C-48,1,2024-03-08
134,20133,Synergistic radical functionalities,Books,Apparel,486.04,33.86,11,WH-B-38,1,2021-08-20
135,20134,Configurable coherent infrastructure,Toys,Fiction,100.59,23.28,9,WH-C-83,1,2023-11-02
136,20135,Future-proofed multimedia strategy,Clothing,Educational,140.47,44.87,5,WH-B-43,1,2023-08-06
137,20136,Optimized interactive process improvement,Home,Apparel,458.96,30.78,29,WH-B-88,1,2020-06-22
138,20137,Progressive exuding workforce,Books,Kitchen,11.41,146.6,23,WH-B-64,0,2024-05-23
139,20138,Reactive homogeneous Internet solution,Electronics,Educational,117.58,177.51,30,WH-B-36,0,2022-11-15
140,20139,Focused reciprocal methodology,Home,Educational,496.02,128.26,7,WH-C-79,0,2022-12-13
141,20140,Seamless reciprocal orchestration,Toys,Fiction,329.46,228.54,13,WH-A-21,0,2021-03-10
142,20141,Front-line bifurcated structure,Clothing,Educational,45.52,235.69,3,WH-B-1,0,2019-06-23
143,20142,Business-focused scalable benchmark,Electronics,Mobile,291.44,243.81,2,WH-A-60,1,2018-07-20
144,20143,Grass-roots solution-oriented open architecture,Clothing,Educational,49.63,220.63,12,WH-B-30,0,2017-08-22
145,20144,Enhanced homogeneous hub,Clothing,Mobile,26.09,22.37,7,WH-C-41,0,2022-08-19
146,20145,Persistent maximized middleware,Books,Fiction,394.75,142.63,22,WH-C-38,1,2021-03-20
147,20146,Ergonomic logistical adapter,Toys,Fiction,282.11,57.27,28,WH-B-45,0,2023-05-29
148,20147,Vision-oriented user-facing superstructure,Toys,Mobile,480.07,199.29,8,WH-A-61,0,2020-08-28
149,20148,Innovative uniform policy,Electronics,Mobile,136.33,16.12,19,WH-C-85,0,2021-08-03
150,20149,Optional non-volatile adapter,Toys,Apparel,114.53,221.0,50,WH-C-47,0,2019-10-09
151,20150,Re-engineered eco-centric capability,Toys,Fiction,39.63,216.2,35,WH-B-5,0,2024-12-10
152,20151,Open-source user-facing success,Home,Apparel,466.16,128.33,7,WH-B-23,1,2024-03-29
153,20152,Triple-buffered mission-critical neural-net,Toys,Kitchen,274.69,86.06,49,WH-B-57,1,2017-02-16
154,20153,Versatile static Graphical User Interface,Toys,Fiction,174.43,24.62,18,WH-B-21,0,2019-01-12
155,20154,Multi-lateral asymmetric moderator,Books,Apparel,452.13,84.52,23,WH-B-81,0,2017-08-03
156,20155,Customizable asymmetric toolset,Clothing,Mobile,476.01,249.21,50,WH-C-50,1,2016-03-15
157,20156,Down-sized leadingedge application,Home,Educational,344.17,18.23,33,WH-A-22,1,2021-01-03
158,20157,Universal regional adapter,Clothing,Apparel,410.61,233.38,40,WH-A-88,0,2024-03-20
159,20158,Pre-emptive client-server matrix,Clothing,Educational,451.55,197.31,44,WH-C-46,1,2016-09-14
160,20159,Reduced motivating parallelism,Electronics,Mobile,166.56,87.63,19,WH-C-24,1,2016-03-29
161,20160,Reactive neutral support,Toys,Fiction,176.49,112.33,37,WH-B-13,1,2021-04-09
162,20161,Optimized optimizing success,Books,Fiction,34.26,91.7,23,WH-C-87,0,2025-03-05
163,20162,Polarized interactive adapter,Electronics,Mobile,491.46,75.52,10,WH-C-28,0,2024-06-24
164,20163,Operative user-facing standardization,Electronics,Apparel,180.62,234.73,16,WH-A-55,0,2024-11-09
165,20164,Ameliorated multi-state emulation,Electronics,Fiction,156.95,155.29,49,WH-A-84,1,2019-03-10
166,20165,Multi-lateral asymmetric budgetary management,Home,Kitchen,455.56,173.08,27,WH-A-6,1,2019-02-06
167,20166,Upgradable hybrid capacity,Toys,Fiction,470.88,8.2,8,WH-B-74,1,2023-09-22
168,20167,Progressive scalable forecast,Toys,Educational,138.76,195.68,4,WH-A-62,0,2021-09-11
169,20168,Focused even-keeled website,Clothing,Fiction,425.66,80.16,44,WH-B-29,1,2024-06-10
170,20169,Synergistic reciprocal function,Clothing,Apparel,170.76,58.4,27,WH-B-2,1,2020-07-12
171,20170,Synergistic web-enabled time-frame,Clothing,Educational,99.99,30.91,25,WH-B-24,0,2021-01-07
172,20171,Phased fresh-thinking algorithm,Clothing,Kitchen,160.78,214.72,22,WH-A-95,1,2018-04-08
173,20172,Ergonomic 5thgeneration benchmark,Electronics,Apparel,129.7,161.12,3,WH-C-72,0,2021-01-22
174,20173,Re-engineered modular adapter,Clothing,Mobile,53.31,101.18,20,WH-A-79,1,2021-12-02
175,20174,Centralized secondary analyzer,Home,Fiction,282.68,245.6,44,WH-B-73,1,2016-08-29
176,20175,Extended intangible contingency,Home,Kitchen,203.67,61.58,46,WH-A-54,0,2019-09-11
177,20176,Mandatory actuating alliance,Toys,Apparel,183.32,50.7,15,WH-B-60,0,2021-04-25
178,20177,Robust 4thgeneration access,Toys,Mobile,54.51,89.34,18,WH-A-92,1,2021-10-02
179,20178,Balanced actuating website,Clothing,Mobile,327.05,153.96,37,WH-A-9,1,2023-01-18
180,20179,Expanded scalable Internet solution,Electronics,Apparel,287.12,111.27,14,WH-A-65,0,2018-03-14
181,20180,Cloned 24/7 approach,Books,Apparel,288.8,118.62,9,WH-B-22,0,2023-07-20
182,20181,Profit-focused motivating circuit,Electronics,Apparel,459.41,122.29,46,WH-C-78,0,2017-06-18
183,20182,Cross-group full-range solution,Books,Fiction,245.0,47.23,45,WH-B-43,0,2017-12-18
184,20183,User-centric background installation,Books,Kitchen,92.38,189.73,20,WH-A-7,0,2020-08-02
185,20184,Versatile even-keeled Graphic Interface,Clothing,Kitchen,334.62,43.09,1,WH-A-36,0,2022-09-15
186,20185,Persevering logistical task-force,Books,Mobile,42.36,243.61,11,WH-B-74,0,2021-06-11
187,20186,Adaptive bi-directional parallelism,Electronics,Kitchen,27.7,55.93,7,WH-B-92,1,2020-10-31
188,20187,Versatile value-added matrices,Toys,Apparel,426.74,36.16,39,WH-A-32,0,2022-12-05
189,20188,Intuitive heuristic definition,Toys,Apparel,444.3,104.75,17,WH-A-1,0,2016-06-02
190,20189,Organic non-volatile architecture,Toys,Educational,235.2,102.48,38,WH-A-79,0,2018-05-01
191,20190,Synergistic empowering analyzer,Clothing,Fiction,53.93,172.25,5,WH-C-96,0,2017-10-01
192,20191,Centralized bi-directional moratorium,Clothing,Fiction,377.05,135.07,17,WH-A-34,1,2022-12-04
193,20192,Re-contextualized hybrid productivity,Toys,Kitchen,83.91,24.88,35,WH-A-16,1,2019-04-06
194,20193,Grass-roots composite secured line,Toys,Fiction,443.55,242.37,23,WH-B-59,1,2022-06-21
195,20194,Function-based next generation intranet,Clothing,Mobile,289.46,202.02,33,WH-B-8,0,2024-05-01
196,20195,Persistent 6thgeneration success,Toys,Educational,201.84,53.11,36,WH-C-99,1,2021-10-09
197,20196,Seamless homogeneous adapter,Electronics,Apparel,327.14,97.35,23,WH-A-17,0,2019-01-07
198,20197,Optional multimedia projection,Electronics,Apparel,484.64,67.65,31,WH-B-86,1,2019-03-04
199,20198,Enterprise-wide 6thgeneration extranet,Home,Kitchen,59.69,131.1,45,WH-C-6,0,2024-03-05
200,20199,Monitored transitional installation,Books,Educational,82.28,63.83,49,WH-C-11,1,2020-11-14
201,20200,User-friendly bifurcated installation,Clothing,Kitchen,284.26,202.22,21,WH-A-93,1,2020-08-30
202,20201,Integrated heuristic infrastructure,Electronics,Apparel,270.5,60.1,11,WH-A-5,1,2018-04-15
203,20202,Fundamental mobile installation,Books,Educational,208.78,96.6,36,WH-B-48,1,2023-11-18
204,20203,Secured modular standardization,Toys,Apparel,400.07,103.34,15,WH-C-35,1,2019-12-13
205,20204,Assimilated intangible software,Clothing,Educational,191.65,120.69,22,WH-B-51,0,2020-04-06
206,20205,Inverse non-volatile archive,Toys,Kitchen,453.91,35.99,35,WH-B-37,1,2022-06-24
207,20206,Integrated intangible initiative,Books,Apparel,258.94,204.62,5,WH-B-77,1,2020-05-26
208,20207,Multi-lateral grid-enabled algorithm,Home,Educational,99.04,214.09,25,WH-A-59,1,2016-12-08
209,20208,Intuitive human-resource instruction set,Books,Mobile,140.19,99.28,32,WH-B-7,0,2016-06-28
210,20209,Multi-tiered fresh-thinking migration,Clothing,Kitchen,471.07,205.06,50,WH-B-40,1,2017-01-01
211,20210,Down-sized demand-driven alliance,Clothing,Educational,120.74,240.46,1,WH-A-4,1,2022-09-26
212,20211,Extended mission-critical open system,Clothing,Kitchen,466.64,24.45,10,WH-C-58,0,2018-09-06
213,20212,Virtual tertiary open system,Clothing,Apparel,409.67,166.2,32,WH-A-56,1,2020-09-05
214,20213,Realigned user-facing forecast,Toys,Mobile,65.09,52.53,34,WH-A-83,1,2018-03-13
215,20214,Self-enabling actuating circuit,Home,Kitchen,119.06,113.95,14,WH-A-74,0,2019-12-06
216,20215,Monitored systemic firmware,Clothing,Educational,11.67,73.27,2,WH-C-6,0,2021-11-07
217,20216,Reactive attitude-oriented paradigm,Toys,Fiction,40.81,232.26,10,WH-B-84,0,2022-01-05
218,20217,Fully-configurable impactful open architecture,Toys,Kitchen,367.45,21.1,2,WH-B-60,0,2022-09-01
219,20218,Up-sized tangible extranet,Books,Apparel,121.09,145.55,22,WH-A-99,0,2018-05-08
220,20219,Open-source systematic process improvement,Toys,Kitchen,455.13,53.62,17,WH-B-80,1,2025-01-11
221,20220,Down-sized zero tolerance methodology,Clothing,Mobile,304.46,50.69,10,WH-C-63,1,2022-06-18
222,20221,Distributed transitional info-mediaries,Clothing,Kitchen,82.7,41.94,8,WH-B-30,0,2018-02-15
223,20222,Enhanced dedicated success,Electronics,Apparel,188.16,121.05,49,WH-A-46,0,2017-11-07
224,20223,Profound 6thgeneration contingency,Books,Apparel,486.28,120.04,30,WH-A-71,1,2021-06-08
225,20224,Operative web-enabled portal,Books,Educational,396.08,34.59,40,WH-A-26,0,2023-07-22
226,20225,Enhanced 24hour collaboration,Clothing,Educational,58.89,162.98,7,WH-C-29,0,2023-07-11
227,20226,Customizable eco-centric pricing structure,Electronics,Educational,336.45,211.24,25,WH-C-98,0,2017-05-23
228,20227,Cross-platform actuating Internet solution,Home,Educational,379.34,37.1,16,WH-A-89,0,2024-02-18
229,20228,Focused 5thgeneration secured line,Electronics,Fiction,153.1,249.3,31,WH-C-86,0,2023-01-09
230,20229,Open-source local installation,Clothing,Apparel,208.46,97.37,32,WH-C-44,0,2018-09-11
231,20230,Polarized radical flexibility,Toys,Kitchen,42.67,163.7,24,WH-A-35,0,2024-03-11
232,20231,Realigned neutral archive,Electronics,Educational,337.81,61.13,24,WH-B-99,0,2022-10-23
233,20232,Enterprise-wide full-range circuit,Electronics,Kitchen,389.64,47.76,8,WH-A-66,1,2017-05-23
234,20233,Vision-oriented discrete framework,Home,Educational,41.0,183.97,12,WH-B-6,0,2022-09-05
235,20234,Reactive 6thgeneration middleware,Electronics,Apparel,52.37,244.45,41,WH-A-10,1,2016-04-08
236,20235,Multi-lateral local methodology,Home,Mobile,289.09,169.28,35,WH-C-49,1,2020-11-15
237,20236,Vision-oriented secondary matrices,Books,Educational,185.3,50.29,24,WH-A-18,0,2021-11-26
238,20237,Vision-oriented context-sensitive interface,Electronics,Fiction,434.77,126.55,19,WH-C-85,0,2023-12-26
239,20238,Open-source zero administration hierarchy,Toys,Fiction,207.73,135.34,26,WH-B-52,0,2024-11-06
240,20239,Automated zero-defect software,Clothing,Educational,250.37,123.55,30,WH-C-99,0,2021-04-04
241,20240,Seamless transitional benchmark,Toys,Apparel,350.77,241.14,31,WH-C-61,0,2023-06-07
242,20241,Switchable directional challenge,Books,Apparel,109.48,152.64,11,WH-B-43,1,2020-07-26
243,20242,Persevering intangible hierarchy,Clothing,Kitchen,71.1,16.19,4,WH-C-9,1,2023-11-17
244,20243,Monitored clear-thinking knowledge user,Home,Apparel,285.89,116.74,26,WH-B-62,1,2021-07-25
245,20244,Object-based interactive installation,Books,Educational,203.87,80.75,23,WH-B-64,1,2023-01-08
246,20245,Configurable tangible approach,Home,Mobile,215.7,54.32,24,WH-B-55,0,2016-04-27
247,20246,Enhanced radical capacity,Electronics,Educational,129.69,82.11,5,WH-B-26,1,2018-09-02
248,20247,Reduced intangible neural-net,Books,Kitchen,481.81,113.14,43,WH-C-73,1,2024-01-11
249,20248,Up-sized radical hierarchy,Clothing,Apparel,110.89,175.21,27,WH-B-93,0,2018-02-23
250,20249,Fully-configurable object-oriented approach,Books,Kitchen,236.71,170.23,15,WH-B-31,1,2024-09-09
251,20250,Synergistic radical matrices,Books,Educational,180.85,74.01,21,WH-B-32,0,2016-12-27
252,20251,User-friendly foreground circuit,Home,Apparel,394.93,198.97,20,WH-C-16,0,2019-10-22
253,20252,Assimilated static success,Home,Apparel,293.38,74.85,5,WH-B-53,0,2022-02-14
254,20253,Cloned responsive functionalities,Clothing,Kitchen,33.39,85.41,22,WH-A-78,1,2022-12-20
255,20254,Streamlined responsive circuit,Electronics,Kitchen,87.27,242.0,49,WH-C-58,1,2019-06-04
256,20255,Proactive heuristic alliance,Electronics,Educational,170.14,225.31,7,WH-B-25,1,2018-10-11
257,20256,Multi-lateral tertiary utilization,Toys,Fiction,74.64,195.55,11,WH-A-2,1,2018-02-07
258,20257,Streamlined static contingency,Toys,Mobile,82.71,154.68,42,WH-A-4,0,2020-04-03
259,20258,Virtual motivating product,Clothing,Educational,173.33,101.4,16,WH-C-91,1,2019-04-06
260,20259,Customer-focused encompassing artificial intelligence,Toys,Mobile,282.13,110.41,49,WH-A-74,1,2019-11-30
261,20260,Cross-group directional archive,Books,Apparel,102.68,175.46,50,WH-B-29,1,2019-05-24
262,20261,Upgradable attitude-oriented contingency,Electronics,Kitchen,155.35,49.97,34,WH-B-21,0,2021-08-23
